Input	Match type	Approved symbol	Approved name	Confidence	Count	HGNC ID	Location
ACC	Previous symbol	ACACA	acetyl-CoA carboxylase alpha	High	1	HGNC:84	17q12
ACC1	Synonyms	ACACA	acetyl-CoA carboxylase alpha	High	2	HGNC:84	17q12
ACC1	Synonyms	BCL2A1	BCL2 related protein A1	Low	2	HGNC:991	15q25.1
ACETYLATUBULINLYS40	Unmatched	ATAT1ÿ	alpha tubulin acetyltransferase 1	High	1		
ACVRL1	Approved symbol	ACVRL1	activin A receptor like type 1	High	1	HGNC:175	12q13.13
ADAR1	Synonyms	ADAR	"adenosine deaminase, RNA specific"	High	1	HGNC:225	1q21.3
AKT	Synonyms	AKT1	AKT serine/threonine kinase 1	High	1	HGNC:391	14q32.33
AMPKALPHA	Unmatched	PRKAA1ÿ	protein kinase AMP-activated catalytic subunit alpha 1	High	1		
ANNEXIN1	Unmatched	ANXA1	annexin A1	High	1		
ANNEXINVII	Unmatched	ANXA7	annexin A7	High	1		
AR	Approved symbol	AR	androgen receptor	High	2	HGNC:644	Xq12
AR	Synonyms	AKR1B1	aldo-keto reductase family 1 member B	Low	2	HGNC:381	7q33
ARAF	Approved symbol	ARAF	"A-Raf proto-oncogene, serine/threonine kinase"	High	1	HGNC:646	Xp11.3
ARID1A	Approved symbol	ARID1A	AT-rich interaction domain 1A	High	1	HGNC:11110	1p36.11
ASNS	Approved symbol	ASNS	asparagine synthetase (glutamine-hydrolyzing)	High	1	HGNC:753	7q21.3
ATM	Approved symbol	ATM	ATM serine/threonine kinase	High	1	HGNC:795	11q22.3
AXL	Approved symbol	AXL	AXL receptor tyrosine kinase	High	1	HGNC:905	19q13.2
BAD	Approved symbol	BAD	BCL2 associated agonist of cell death	High	1	HGNC:936	11q13.1
BAK	Synonyms	BAK1	BCL2 antagonist/killer 1	High	1	HGNC:949	6p21.31
BAP1C4	Unmatched	BAP1ÿ	BRCA1 associated protein 1	High	1		
BAX	Approved symbol	BAX	"BCL2 associated X, apoptosis regulator"	High	1	HGNC:959	19q13.33
BCL2	Approved symbol	BCL2	"BCL2, apoptosis regulator"	High	1	HGNC:990	18q21.33
BCL2A1	Approved symbol	BCL2A1	BCL2 related protein A1	High	1	HGNC:991	15q25.1
BCLXL	Unmatched	BCL2L1	BCL2-like 1	High	1		
BECLIN	Unmatched	BECN1	beclin 1	High	1		
BETACATENIN	Unmatched	CTNNB1	"catenin (cadherin-associated protein), beta 1, 88kDa"	High	1		
BID	Approved symbol	BID	BH3 interacting domain death agonist	High	1	HGNC:1050	22q11.21
BIM	Synonyms	BCL2L11	BCL2 like 11	High	1	HGNC:994	2q13
BRAF	Approved symbol	BRAF	"B-Raf proto-oncogene, serine/threonine kinase"	High	1	HGNC:1097	7q34
BRCA2	Approved symbol	BRCA2	"BRCA2, DNA repair associated"	High	1	HGNC:1101	13q13.1
BRD4	Approved symbol	BRD4	bromodomain containing 4	High	1	HGNC:13575	19p13.12
CABL	Unmatched	ABL1	"ABL proto-oncogene 1, non-receptor tyrosine kinase"	High	1		
CASPASE3	Unmatched	CASP3	"caspase 3, apoptosis-related cysteine peptidase"	High	1		
CASPASE7CLEAVEDD198	Unmatched	CASP7	"caspase 7, apoptosis-related cysteine peptidase"	High	1		
CASPASE8	Unmatched	CASP8	"caspase 8, apoptosis-related cysteine peptidase"	High	1		
CAVEOLIN1	Unmatched	CAV1	"caveolin 1, caveolae protein, 22kDa"	High	1		
CD20	Previous symbol	MS4A1	membrane spanning 4-domains A1	High	1	HGNC:7315	11q12.2
CD26	Previous symbol	DPP4	dipeptidyl peptidase 4	High	1	HGNC:3009	2q24.2
CD31	Synonyms	PECAM1	platelet and endothelial cell adhesion molecule 1	High	1	HGNC:8823	17q23.3
CD49B	Synonyms	ITGA2	integrin subunit alpha 2	High	1	HGNC:6137	5q11.2
CDK1	Approved symbol	CDK1	cyclin dependent kinase 1	High	1	HGNC:1722	10q21.2
CHK1	Synonyms	CHEK1	checkpoint kinase 1	High	1	HGNC:1925	11q24.2
CHK2	Synonyms	CHEK2	checkpoint kinase 2	High	1	HGNC:16627	22q12.1
CIAP	Unmatched	BIRC2 	baculoviral IAP repeat containing 2	High	1		
CJUN	Unmatched	JUN	jun proto-oncogene	High	1		
CKIT	Unmatched	KIT	v-kit Hardy-Zuckerman 4 feline sarcoma viral oncogene homolog	High	1		
CLAUDIN7	Unmatched	CLDN7	claudin 7	High	1		
CMET	Unmatched	MET	"MET proto-oncogene, receptor tyrosine kinase"	High	1		
CMYC	Unmatched	MYC	v-myc avian myelocytomatosis viral oncogene homolog	High	1		
COG3	Approved symbol	COG3	component of oligomeric golgi complex 3	High	1	HGNC:18619	13q14.13
COLLAGENVI	Unmatched	COL6A1	collagen type VI alpha 1 chain	High	1		
CRAF	Synonyms	RAF1	"Raf-1 proto-oncogene, serine/threonine kinase"	High	1	HGNC:9829	3p25.2
CYCLINB1	Unmatched	CCNB1	cyclin B1	High	1		
