,in 2nd screen,IQR,4EBP1.pS65,AIB.1,AKT.pT308,AMPK,AMPKpT1729,Annexin,Baf.B,Bcl.2,Bid,BIM,CASP3.A,Catenine.B,Caveolin1,CDC2,Chk1,Chk1pS345,Chk2.pT68,cJun.pS73,CollagenVI,CyclinD1,DJ.1,EGFR,EGFRpY1173,eIF4E,ER.a.pS118,ERCC1,ERK2,ER.L,FAK,FN1,FOX03a,FOX03apS318,GSK3.Beta,GSK.pS21,HER2.L,Hif.L,IGFBP2,IGFR1b,IGFR1bpY1135,IRS.1,Jnk2,JNK.pT183,Kit.c,Ku80,Mre11.31HC,Myc,NFkBpS563,Notch3,p21,P27,P38.pT180,P53,PARP,PCNA,PDK1.pS214,Pea15.pS116,Pea15,PI3KP110,PI3KP85,PKC.alpha,PKC.pS657,PR,Rad50,Rad51,Raf.C.pS388,Raf.C,Rb.4H1,Rb.pS807,S6.pS235,Shc.pY317,Smad3,Snail,Stat3,Stat3pT727,Stathmin,Tau,TGM2,TSC2pT1462,TuberinTSC2,Vasp,VEGFR2,XBP.1.L,XRCC1,YAP.pS127,YAP,YB1.pS102,Y.Box.BP1,AMPKpS345.5,AMPKpS345.6,LKB1,4EBP1,4EBP1.L,53BP1.L,AR.L,ACC1,ACC1.LB,ACC1.LC,ACC1.pS79,ACC1pS79.LB,ACC1pS79.LC,AKT.pS473,AKTpS473.LB,AKTpS473.LC,AKT,AKT.LB,AKT.LC,AR.L,AR.L,Bak,Bak.L,BAX,BAX.L,Bcl.X,Bcl.xL,CASP7Asp198,CASP7Asp198.L,Chk2.1C12,Chk2.1C12.L,CLDN7.L,CLDN7.L,Cox.2,Cox.2.L,CCNB1,CCNB1.LB,CCNB1.LC,CCNE1,CCNE1.L,GAPDH,GAPDH,GAPDH.L,K.RAS,K.RAS.L,K.RAS.L,MAPK.pT202,MAPKpT202.LB,MAPKpT202.LC,MEK1pS2172.LC,MEK1.pS217,MEK1pS217.LB,MEK1,MEK1.LB,MEK1.LC,MSH2,MSH2.L,P38.MAPK,P38.MAPK.L,P70S6KpT389,P70SKpT389,P90RSKpT3593,p90RSKpT359,Paxillin,Paxillin.L,Pras40.pT246,Pras40pT246.L,PTEN,PTEN.LC,Rab25,Rab25.L,Rab25.L,S6.pS240,S6.pS240.LB,S6.pS240.LC,Src.pY416,Src.pY416.L,Src.pY527,Src.pY527.L,Stat3.pS705,Stat3.pS705.L,Stat5,Stat5.L,Stat5.L,Taz.pS79,Taz.pS79.L,Taz.pS79.L
hsa-miR-365,1,1.353516063,1.135331107,1.983350008,0.159517095,0.590945549,0.94244994,11.98771416,1.107545115,0.14965851,0.681321617,0.204972797,0.058841541,2.626296147,21.92043679,0.522868981,0.506153603,0.306682834,0.192224608,1.280793933,1.107032174,6.07966675,0.783430935,0.970591013,0.795461622,1.182835125,1.42812044,0.543856334,10.45262987,0.095704548,5.239305238,6.966909489,0.620521208,5.969557977,3.447202159,0.831514264,2.658324228,0.474333911,0.037774507,0.898121433,2.006658961,4.077530167,1.535777952,0.93035618,0.179401243,2.56901174,0.863730495,2.109540675,1.381703907,0.676118365,1.134166992,2.445069033,1.726947124,1.955614248,0.029139917,0.135746981,0.677109894,1.112251755,1.467787497,1.164796755,3.824011671,2.031251314,0.910352838,0.059236038,2.031367431,0.504362169,1.167718949,6.995989018,0.349926232,3.020532958,0.745796821,0.038959585,0.516895657,0.39374026,6.087477235,0.682657179,0.838764067,1.7582291,17.98934217,0.861665278,4.693522732,1,23.17512671,0.524793242,0.57163706,5.994296067,21.72678528,0.493677603,3.78072394,0.140372842,0.702464825,5.696226035,0.571547819,1.249664627,1.385327205,0.457787912,0.821238131,1.033555195,0.975749069,1.026907722,0.842210507,2.258117997,2.023981488,2.158365232,1.593596692,0.524152734,1.421870165,0.620548744,0.619684665,0.457787912,1.334396227,1.280504778,0.84820211,0.325369008,0.888704085,1.526825243,2.027950965,2.168194133,1.012220802,1.206356544,2.669629881,0.630360983,0.629334906,0.993376461,0.580305264,0.416743515,0.527852045,1.256188539,0.434557377,2.328949416,1.978465919,2.328949416,2.37735238,0.594823135,2.37735238,0.411836862,0.51727344,0.647722461,0.482571235,0.472998119,0.415394324,0.654487566,1.84000543,0.644311051,0.774045248,0.454216656,0.464900776,0.832137248,1.535928481,3.371563243,0.428700956,0.747510131,1.243738354,0.970730606,1.390682253,0.938976581,0.577872745,0.620751769,1.521365999,2.225612342,0.820010878,0.75685065,1.142646602,1.179384891,0.55700682,1.380424957,0.845330994,0.947366987,0.978414242,3.886869742,0.8511516,0.943923507,0.898099902,0.422578721,0.766281591,0.422578721
hsa-miR-665,1,1.176838016,1.329698301,0.444329422,0.133933163,1.171822512,1.024357425,1.86369913,0.312643578,0.067385034,0.369973335,0.169407737,0.080535052,0.365317803,2.105421265,0.197539477,0.970098416,0.565555477,0.426156698,2.670239706,1.932961576,4.752910009,0.542742735,1.234405738,1.55719395,0.382384625,0.301991208,1.789838687,6.683058023,0.036018923,2.383662729,2.324518802,0.347927457,0.955266684,1.118357634,0.891499716,0.945617145,0.999988025,0.051653241,1.013684592,2.022561564,2.994910919,0.30577432,1.033980261,0.329624755,2.214191866,0.930404166,0.331551206,0.695859982,0.602526079,1.669035099,1.211947985,0.889222234,0.754000679,0.021311777,0.194015152,0.647641332,2.368714068,1.432783904,0.869156671,3.208874314,1.314930979,1.165471101,0.053803278,1.146119719,0.505823193,1.771936605,2.525907215,0.448053906,3.531869559,0.79163069,0.15260744,1,11.76019692,2.942827689,0.597255721,0.476367624,4.420152181,2.562221508,1.416151214,1.968473272,1.415531895,1.791168629,0.694780757,0.703345176,2.098167744,14.19076179,1.412996945,1.562604853,0.079754854,0.111418867,1.060990929,3.621732779,1.31610888,0.664142751,2.255687932,0.816827409,0.575586967,0.594687929,1.300685214,1.925021574,1.299835318,1.343156058,1.011622532,0.533447079,0.225901499,0.100032462,0.096359431,0.718989466,2.255687932,0.390011288,0.898083773,0.642781001,1.216215489,0.699374999,1.670270773,4.7550366,1.328654417,1.283140283,0.946529834,1.04614951,1.37106992,0.850014036,0.556137012,1.025928536,0.188873452,0.160594436,1.32868608,1.045837426,0.628826982,0.838094588,0.628826982,9.446932406,1.866655805,9.446932406,0.787411293,0.343701694,0.367681154,0.310703316,1.949784468,0.284077506,0.455550259,0.356044244,0.291914468,0.712154567,0.221055744,0.421586985,0.214851348,0.983034245,1.309417192,0.718965007,3.9794896,0.120211868,0.120628955,0.728495551,0.457037323,1.296066395,0.419572912,25.32956239,36.59930928,38.12949009,0.700433183,0.147795697,0.150456545,1.45112121,0.382548387,1.312050009,0.418360614,1.378647796,0.337595745,0.320539646,0.162767891,0.203367452,1.655378424,1.568492579,1.655378424
hsa-miR-449b,0,1.144737553,0.931067042,2.922938992,0.13004619,0.625269592,1.240798274,18.25838673,2.137487834,0.053271067,0.28708941,0.084956897,0.039482971,2.496872705,7.764584377,0.759506253,0.58386972,0.386464559,0.178057764,1.87486154,0.839516024,1.807219881,1.294316627,0.736956182,0.578992505,1.340545245,0.453321296,0.175724672,9.302429892,0.045176032,6.260618203,4.443321351,0.551707612,4.789619267,3.538467404,1.894830619,1.942605693,0.242657074,0.07093984,0.713399909,0.840252912,3.044784623,1.133421267,0.658054106,0.083466203,2.018456587,1.233817907,1.978068102,1.754615264,0.790549323,0.929095554,1.154510138,0.391738001,0.667261226,0.006935474,0.283652955,0.939068213,1.271258173,0.948044316,0.559328195,3.571719973,1.150552083,0.719177302,0.052924216,0.681659345,0.212551748,1.758725243,2.526253155,0.351512477,5.197306045,1.009320246,0.079012736,0.558014414,0.267605465,4.721872871,1.106857687,0.337048268,2.300505765,15.99363159,1.500875152,5.865791967,1.718533382,27.77908157,0.225150628,0.410658509,4.832223935,18.91972126,0.757823337,3.076400075,0.053386217,0.261135033,4.604604567,0.421389453,0.884741697,1.239446138,0.513971382,1.392259935,1.224279469,2.111629969,0.866943531,1.184447096,1.25954487,1.841428898,2.71856457,2.148385743,1.849734321,1.936351848,1.830338488,0.537653703,0.513971382,0.724493762,1.061935792,1.353670325,0.845695019,1.411078105,0.975073458,1.545068195,0.65619439,1.139403886,0.345608066,0.849480063,0.584090412,0.968038643,2.406823401,0.297037495,0.219177497,0.30074684,1.982479926,0.958540419,0.952628367,1.108000488,0.952628367,1.434732863,0.440744049,1.434732863,0.937972985,1.903266212,1.656721501,1.196996882,0.931891451,0.981736122,0.461902602,0.453560107,0.443291983,1.256990402,0.702812187,0.65834686,1.890066153,1.118998931,1.053645229,0.805952647,0.441849894,1.278602267,0.91334764,1.129559844,1.249728664,0.86971315,0.883682676,0.83739365,1.155513691,1.040197755,1.319728002,1.109586539,1.13796877,0.778806764,1.021039452,0.68123527,0.712205758,1.85656996,0.444774332,0.615393766,0.671492711,0.588956184,0.530547367,0.576702439,0.530547367
hsa-miR-555,1,1.016276998,0.626132103,1.522761549,0.139917229,0.893114186,1.090335251,9.368088962,1.273598257,0.270825508,0.312668914,0.251777959,0.026653356,2.50678773,18.67909244,0.508763976,0.534273565,0.309013951,0.134901365,1.267942174,1.274931442,0.720614859,0.852108701,0.701707312,2.193076518,1.066012916,0.202284557,0.186452745,8.114838356,0.061878813,8.46008451,2.895677753,0.239383674,4.944725579,3.637761049,1.237514055,2.248192364,0.278463416,0.045900444,1.195206327,1.602329079,4.334243802,2.572818592,0.308391596,0.1293862,2.12057898,0.461541197,1.191812722,1.142012241,0.323500864,1.286119263,2.050568603,0.303188166,0.830620884,0.02407568,0.126350566,0.465128264,1.349768476,1.823929787,0.546207531,3.150698671,0.774785343,1.452655017,0.050902937,0.664380052,0.368572629,1.210729619,2.014015957,0.314288739,3.514782761,0.360997389,0.043796857,0.219760618,0.305029585,6.594694614,0.675024898,0.211172956,1.568625987,5.320230113,0.726932655,3.516185618,1.083318352,51.45582698,0.127114876,0.126393031,2.417680421,17.10638059,0.774881589,3.196627163,0.228436793,0.513990312,4.197495167,0.466922977,1.023791954,1.892340702,0.382350061,1.057705271,0.943071594,0.915987554,0.752739225,2.451266094,0.777026121,1.08888152,1.656829307,1.289196716,0.774262313,1.091535804,1.010192571,0.476997897,0.382350061,1.527542894,1.027350285,2.026797667,0.768085636,0.671218396,1.123490094,1.348358861,1.579953165,0.499960019,2.181750077,1.385456159,0.557113607,0.632965536,0.847550352,0.290422618,0.287914555,0.274904955,1.049665381,0.781450511,2.761853583,2.31736831,2.761853583,1.697047073,0.893545309,1.697047073,0.80635195,1.801783885,1.908585866,1.155650646,1.010320676,0.941603851,0.545824381,0.574976316,0.699025948,0.576027578,0.42962162,0.982550857,0.96992408,0.791199087,1.889962513,0.629714973,0.697778724,0.650154522,0.629118695,0.972248022,0.732346419,0.853894066,1.666182556,0.640447374,0.439723628,0.662140439,0.575433298,0.591612529,0.523380899,0.588332047,0.717731185,0.650253992,0.789726126,1.144673055,0.467145734,0.536745448,0.679854497,0.67363528,1.370374693,0.893133495,1.370374693
hsa-miR-147,1,0.89996305,1.011509134,1.8730083,0.475854314,0.934793089,1.119970273,11.0274876,1.245162741,0.052307692,0.197185671,0.103794778,0.044777427,2.539032828,29.08792666,2.2981726,0.536010879,0.249622365,0.107186375,7.231839675,1.477426689,0.839892715,0.911809153,0.491123496,0.624493736,1,0.220811747,0.751454591,7.854177929,0.030070306,4.433112468,4.587304131,1.630091365,5.154357188,5.199418376,0.924126926,2.917823804,0.141194673,0.027965492,0.824034257,1.476396303,4.654749391,0.906519198,0.738104742,0.12589774,3.066045387,0.726708873,1.210426461,1.066036326,1.914645685,0.914963036,1.468404191,0.49207854,1.354668867,0.065489384,0.199890656,0.631244967,0.816853688,1.35645109,0.576685224,8.058109019,0.875966927,1.152842495,0.094753284,0.738615668,0.21670188,1.57206734,2.821100028,0.292986459,2.323082746,0.40728571,0.238378073,0.443465265,0.325893259,2.798983086,0.737712012,0.318707488,1.507788321,8.698209158,0.777973503,3.405989795,2.10208296,15.12005411,0.122774462,0.494982371,5.781058701,20.18406102,0.721889231,2.237909808,0.051970499,0.285476414,4.817558834,1.435961427,1.089644855,1.368237785,1.039961796,1.102166202,1.167276227,1.205189327,1.257486159,1.241974163,1.529120698,1.713056213,0.871746922,1.498627509,0.773732105,1.395207882,1.111705485,0.27093842,1.039961796,0.384355452,1.16917333,1.689793045,0.882838636,1.281402957,1.353726238,1.645990492,2.090193572,1.105068776,0.498548443,1.348061882,1.895231268,0.450129605,0.781941039,0.228106106,0.226026994,0.307523184,0.596827931,0.698671084,1.08184108,1.258287582,1.08184108,2.279846858,1.631660865,2.279846858,0.857214394,1.031824088,1.145255142,0.738266877,0.642498654,0.794946964,0.958089064,1.087499276,0.856658967,0.550402867,0.78503961,0.71818938,1.037007379,0.630425466,0.583792224,0.71730179,0.564899632,1.124524755,1.029345406,1.067882498,0.818934707,0.814145865,0.954493135,1.546287065,2.210714564,1.824890336,0.428815141,0.254269396,0.258847148,1.179737956,0.586259951,1.178391165,0.775104693,1.043859896,0.578768497,0.762471091,0.815829506,0.695563957,0.570408887,0.608416764,0.570408887
hsa-miR-146a,1,0.883109572,1,2.950350672,0.261561427,0.752885711,1.255187255,17.55330674,1.136237194,0.138080601,0.240920771,0.222567273,0.022770967,4.099014389,30.70831904,1.485697466,0.492152581,0.377622778,0.342397286,3.699497759,1.92824291,4.874431424,1.098901031,0.385608223,1.854291242,1.348992372,0.460081312,0.573242937,13.29586786,0.052692673,6.299244654,6.198383246,0.939990393,4.945522307,7.984708755,0.817496198,3.315473711,0.124235974,0.035008469,0.967712939,1.114680391,2.970066578,1.534876265,0.813731106,0.079849746,4.073390468,0.551015602,1.642722211,1.504186883,0.881260915,2.789005513,1.591312621,0.573498588,2.151297635,0.020984852,0.232816407,0.877238339,1.103182135,2.006678539,0.827713732,5.467348225,1.181354156,1.000515285,0.046842932,0.778840029,0.55889081,1.157881833,2.093919207,0.570076628,4.504415335,0.396215507,0.118620413,0.450023254,0.238187126,3.71380788,0.747217285,0.368124652,1.157839976,17.1401053,1.060609864,5.01362196,0.864544335,14.43695787,0.084957475,0.347317041,5.919672934,18.17997186,0.637803293,2.646328387,0.099975358,0.299568999,5.447760651,0.971498337,1.108603292,0.983697186,1.587602762,1.60914632,1.67212312,1.695631399,1.18424554,1.324735201,1.605540141,1.325102154,1.155707045,1.084381266,0.666102584,1.732077274,1.238510978,1.18539625,1.587602762,0.513854826,1.020782233,0.80580673,1.021661072,1.287706316,1.165408032,1.418948948,1.208580795,1.663576453,0.843218107,1.05117248,1.188947336,0.804187717,0.699902996,0.70097277,0.717878316,0.983927143,1.938659248,0.795547442,0.931377306,0.938280245,0.931377306,1.919971206,0.758421491,1.919971206,1.185475959,1.589238821,1.561239874,0.950198699,0.721970911,0.79843506,0.860288447,0.986453554,0.87788106,1.571594164,1.121216369,0.619726,0.764740215,0.657326286,0.783805441,0.821333748,0.890233709,1.410769107,1.247795812,0.804814929,1.054919025,1.021377159,1.08555889,1.629574167,1.384700399,1.321058868,0.47278897,0.38218106,0.715054451,0.898699461,1.044937443,0.760820155,0.692015483,0.891970907,0.821940702,0.809087063,0.946939187,0.71705176,0.634062014,0.662988917,0.634062014
hsa-let-7d,1,0.850303951,1.425122376,2.332981622,0.079641747,0.777639383,1.200864817,19.70764464,1.694281042,0.123093084,0.279934864,0.264742356,0.063928379,5.550041025,29.3492469,0.908382885,0.603075155,0.358087098,0.255669737,1.89201878,1.448657425,2.492104031,0.65750306,0.711801607,1.157238756,1.200128553,0.335198805,0.450961327,14.45265453,0.039137513,5.265734556,8.270081828,0.509264263,4.948579076,5.182615065,1.207155794,2.928225047,0.251870378,0.043624899,1.041816071,1.474704891,2.863396176,1.746598028,0.612720183,0.239637409,3.69058727,0.649137379,2.069269389,1.436512578,0.591520926,2.202154229,0.863857853,0.704289089,1.31048321,0.019425181,0.249186485,0.861435372,0.874718582,1.244793242,1.692022183,3.274160079,1.101455701,0.835242572,0.069543165,0.738434476,0.548108114,1.52579349,2.675414452,0.771297339,5.8571843,0.539655046,0.109715964,0.518333959,0.182925097,2.992216435,0.987264319,0.656339969,0.905412829,10.19478377,0.667499362,2.719500818,0.957737552,18.29553402,0.11463673,0.449883584,3.4442801,16.75858236,0.971501245,2.226287506,0.123551651,0.302158997,6.143288286,0.963168515,1.021973251,1.033240288,0.8752995,0.911104224,1.083487617,1.348306607,1.167105218,1.262599116,1.165301003,1.283062653,0.847055349,0.981049159,2.113045761,1.663948467,1.885113501,0.842198052,0.8752995,1.037516789,0.920823097,0.988159007,1.048590122,0.961031469,1.006995871,0.719934423,0.981978626,0.92735955,1.227330747,1.044045751,1.664224143,1.937211361,1.401683059,2.140693826,2.307359369,2.236639336,1.401410247,1.403773794,1.496421693,1.266376489,1.496421693,1.950174798,0.982798134,1.950174798,1.019440726,1.939674949,1.851395115,1.361212516,0.990983786,1.300387697,1.106024734,1.918637654,1.889375505,0.896828316,0.895804079,1.021269635,1.323212279,0.913905512,0.854862058,0.94768789,1.990795075,1.235020083,1.316111883,0.901335685,0.9345719,1.709057296,1.953487595,1.04536835,1.060267927,1.408974667,0.637270288,0.526190532,0.643569258,1.030187617,0.937036091,1.408751988,1.016070021,0.964272291,0.970183994,1.058609373,1.097226182,1.029546738,1.038530648,0.882893464,1.038530648
hsa-miR-34a,1,0.841878563,0.859650512,2.155634841,0.125747128,0.739456116,1.192056126,13.16375702,1.553173086,0.106489469,0.266274647,0.196498768,0.063128511,2.285001551,9.85214997,0.696801841,0.543434034,0.360665766,0.259007532,1.602822068,1.343798719,2.757742562,0.617937347,0.681295108,1.020617944,1.352209043,0.332598874,0.391142126,9.455826202,0.036978115,4.906904397,4.234641875,0.695830309,5.344749726,4.60318343,1.489265781,2.455911317,0.25714818,0.073302425,0.88245291,1.117601612,2.763074808,1.666065158,0.819988316,0.201286077,2.60026606,0.558723865,1.589531567,1.429834579,0.42185208,0.838320454,1.04364338,0.683708917,1.060905767,0.031071402,0.182242396,1.049450107,0.632853308,1,0.775192097,2.977209524,1.037201664,0.744027886,0.075640719,0.663072775,0.426003623,1.465484478,2.253066995,0.380439524,5.21682238,0.989986855,0.174167789,0.636943507,0.363222818,4.52712467,0.911458714,0.285284023,2.284159335,16.89640135,1.885012149,2.977215892,1.520268375,22.81085882,0.089240459,0.343238206,4.482205331,22.00102929,0.962611049,2.65002043,0.133655372,0.286886545,4.660325193,0.891887305,0.823886402,0.907563233,0.738191822,0.794708917,0.907819138,0.850914384,1.611837178,1.128812885,0.953452467,10.6534952,6.260698095,3.101967193,1.220603591,2.193648809,1.883870053,0.810194566,0.738191822,0.84889445,1.135359427,0.934399477,1.131717969,1.716878164,0.990037872,3.242890849,2.781945617,0.755633832,0.779076408,1.009686085,0.980202435,1.536592338,1.232098551,0.229239483,0.269312762,0.303341627,1.590101924,1.181930014,1.099007935,0.900365386,1.099007935,0.924564153,0.975571849,0.924564153,1.043529509,1.956695263,1.355952321,1.126142074,1.113068765,1.124124261,0.643541001,0.642286137,0.634132912,0.743063537,0.567090949,1.245957113,1.094438298,1.411548085,1.682236115,0.927072122,0.937377294,1.122728029,0.956996604,1.710406506,1.364912045,1.206589062,1.170032292,0.955611003,0.929562381,1.566590324,1.161804095,1.222524909,1.271931956,0.908962394,0.90041377,0.82851339,0.643155448,0.845297185,0.826016197,0.794281614,0.802735552,0.839992917,0.847787407,0.924703542,0.847787407
hsa-miR-615-3p,1,0.81196187,1.293448843,1.544867288,0.128333243,0.789823183,1.002754048,9.472824283,1.872587932,0.106481678,0.354163184,0.155459583,0.051621253,1.893897128,16.1328316,1.175578597,0.56807805,0.462960795,0.249230108,1.496778381,1.068569808,3.688448824,0.842351917,0.689792513,1.126741072,1.985342992,0.326344305,0.389643541,9.871449947,0.048669174,6.991765898,2.796051485,0.46239227,4.246427991,3.244117313,0.805448606,1.842917684,0.242676167,0.101015662,1.046808013,1.757370569,2.967494576,1.758431605,0.419440456,0.139782279,6.282765197,0.89418602,1.980860037,1.4123116,0.462685836,2.213185729,0.828229096,0.664449219,1.319679297,0.030957493,0.436741867,0.833520151,1.140849747,1.593229602,0.888246061,2.939060582,1.093245099,1.833830122,0.045610277,0.575369511,0.456063125,1.641155871,3.307081839,0.733786573,6.766912719,0.347917322,0.045729913,0.499956373,0.164083365,2.969603164,0.918215928,0.288545876,0.26758475,13.80185112,0.791615224,3.488387348,0.856971453,15.28006851,0.184499251,0.155169204,4.030096595,28.23635242,0.703995132,5.404382224,0.199176374,0.427492329,5.655342031,1.544399064,1.135548433,0.960370274,0.31619488,1.249149698,1.030801349,0.934056743,0.7051948,0.988646091,0.661421405,1.316462713,1.163319836,0.984329529,0.852039719,1.262743214,1.257162908,0.956652852,0.31619488,1.356688849,0.921328232,0.87421287,1.074767881,0.936709267,1.031506202,1.418884978,1.383345105,0.967523343,1.420756027,1.78295345,0.378463831,0.90924992,1.016718372,0.788291877,0.79001738,0.920312277,0.403436274,1.954186037,2.395229689,2.001079465,2.395229689,1.210018873,0.85799924,1.210018873,0.682236288,1.629105853,1.836641189,1.097863265,0.973661807,0.903160554,0.762368889,0.894205576,0.930005685,0.515094548,0.669896032,1.090575796,0.837250999,0.706101037,0.823259537,0.970192085,1.203367409,1.803515219,1.039773713,1.012991964,0.727296155,1.085877113,0.942047939,2.504565045,0.907959573,0.556657644,0.518636146,0.538903849,0.447819965,0.837110032,1.16156352,0.696577429,1.16891923,1.027330579,0.914504093,0.637002484,0.887372812,0.72836244,0.914333833,1.124998321,0.914333833
hsa-miR-124,1,0.771810246,0.655915484,2.83115177,0.029150519,0.844343628,1.182697889,9.895075361,2.882708094,0.126140475,0.310836796,0.153897987,0.049637439,2.966712574,5.404184579,0.513122094,0.686585532,0.465364167,0.272787182,0.964794011,1.740724752,6.964958324,0.72045779,0.822436775,1.348835678,1.306323651,0.411487412,0.484517031,10.96970723,0.055280148,8.610436741,4.279087281,0.647914801,5.482381367,5.931379993,1.298256416,3.189821144,0.252992505,0.039387459,1.36345248,1.461257065,4.221361768,2.003194888,0.680987481,0.078574276,3.752389064,0.673149056,1.450978098,0.926381566,0.519518063,0.543741254,1.937920303,0.273780365,1.472450527,0.017712408,0.230019986,1.008906348,0.71299505,1.303356104,1,3.72078295,2.214262231,1.607153669,0.045261945,0.857919695,0.342389268,1.615130421,2.378953081,0.437545459,4.284915797,0.341286363,0.105288614,0.79744869,0.218581625,5.275511167,0.46653124,0.343480778,1.462112055,11.28377971,1.174649631,4.751238475,1.048849258,9.46034351,0.134764607,0.427599635,4.32394933,15.4683756,0.871526839,2.419171766,0.113909169,0.392822132,6.967111939,0.661958094,0.768984287,1.265592407,1.438811142,1.006852488,1.054500678,1.017373815,1.054512501,0.916379708,1.003786237,0.851316368,1.450602398,1.281675581,1.247146713,1.330200017,1.201560914,1.204933182,1.438811142,1.036915875,1.105963497,1.065005528,1.054167716,1.031263826,1.063198202,1.017977836,1.193506199,0.388217076,1.048547229,1.052286344,1.139582002,1.100133237,1.184138718,0.087299789,0.078362619,0.126157414,2.164769425,2.139924356,1.430829837,1.690690971,1.430829837,1.099258947,1.08543148,1.099258947,1.064208864,1.100004974,1.06779603,1.035727569,1.05527085,1.069782549,0.841545534,0.962135518,0.881997926,0.762245533,0.739856103,0.65804009,0.457129673,0.621055067,0.644108178,0.920455997,0.895218858,0.807980939,0.955733152,1.006730176,0.770544972,1.683618834,1.856477283,1.08983816,1.128013396,1.189157078,0.32765957,0.202757853,0.25901001,1.164254941,1.204494204,1.029847447,0.961693594,0.962218857,1.063959101,0.9778457,1.066757939,1.023743619,1.087369256,1.031909739,1.087369256
